Laptop,Desktop,Dell 2 Desktop,Desktop,Desktop,I/O-device,XIBERIA Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Slim 2TB Portable External Hard Drive,Desktop,Monitor,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Epson Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Desktop,Monitor,Epson Printer,Desktop,I/O-device,Monitor,Apple TV,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Computer Game,Laptop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Apple Earpods,Laptop,Large Mouse Pad,1TB Portable External Hard Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDMI Cable 6ft,Laptop,Desktop,Epson Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Desktop,Desktop,Laptop,Desktop,iPhone Charger Cable,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,
HP Wireless Printer,Monitor,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailihen Stereo Headphones,HP Wireless Printer,Desktop,DYMO Labeling Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Laptop,Desktop,Monitor,DYMO Labeling Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Etekcity Power Extension Cord Cable,Belkin Mouse Pad,JBL Splashproof Portable Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,I/O-device,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,Desktop,Desktop,I/O-device,Microsoft Office Home and Student 2016,Desktop,Belkin Mouse Pad,Laptop,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Laptop,Monitor,Desktop,Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Epson Black Ink,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Belkin Mouse Pad,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Apple Earpods,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Slim 2TB Portable External Hard Drive,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Game,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Desktop,Desktop,Mackie CR Speakers,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
iPad Pro,JBL Splashproof Portable Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Bose Companion Speakers,I/O-device,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Laptop,Desktop,Monitor,Bose Companion Speakers,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Desktop,Monitor,Belkin Mouse Pad,Apple Earpods,Zombie Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Desktop,HDMI Adapter,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Ailihen Stereo Headphones,Laptop,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Laptop,Desktop,I/O-device,Monitor,Computer Game,Laptop,Desktop,I/O-device,I/O-device,I/O-device,HDMI Adapter,Redragon Gaming Mouse,Monitor,iPad Pro,,,,,,,,,,,,,,,,,
Computer Game,Monitor,Monster Beats By Dr Dre,Etekcity Power Extension Cord Cable,iPad Pro,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,Sonos,I/O-device,Halter Acrylic Monitor Stand,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Epson Printer,Fire TV Stick,Laptop,Canon Office Printer,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Halter Mesh Metal Monitor Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epson Printer,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Microsoft Office Home and Student 2016,Ethernet Cable,I/O-device,Desktop,Zombie Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Game,Desktop,Etekcity Power Extension Cord Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Monitor,I/O-device,iPad Pro,JBL Splashproof Portable Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,I/O-device,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Office Home and Student 2016,Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Halter Acrylic Monitor Stand,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Panasonic In-Ear Headphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epson Black Ink,I/O-device,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Computer Game,Laptop,Microsoft Headset,JBL Splashproof Portable Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Epson Printer,Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Beats By Dr Dre,Laptop,Desktop,I/O-device,Desktop,I/O-device,Belkin Mouse Pad,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Desktop,DOSS Touch Wireless Bluetooth,Desktop,Fire HD Tablet,Redragon Gaming Mouse,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Desktop,Desktop,I/O-device,Desktop,DOSS Touch Wireless Bluetooth,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,HDMI Cable 6ft,Laptop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Panasonic In-Ear Headphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Desktop,Laptop,JBL Splashproof Portable Bluetooth Speaker,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Laptop,Desktop,I/O-device,Cambridge Bluetooth Speaker,Smart Light Bulb,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,I/O-device,Epson Black Ink,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,I/O-device,Zombie Gaming Headset,DYMO Label Manker,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Desktop,I/O-device,Etekcity Power Extension Cord Cable,I/O-device,Desktop,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Laptop,Desktop,HP Wireless Printer,Ethernet Cable,Apple Earpods,Logitech Stereo Headset,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,Desktop,Sonos,Laptop,Zombie Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,,
Epson Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,I/O-device,Apple Earpods,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,I/O-device,Laptop,Microsoft Headset,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Desktop,Slim 2TB Portable External Hard Drive,Desktop,I/O-device,Belkin Mouse Pad,Redragon Gaming Mouse,Laptop,Monitor,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,I/O-device,I/O-device,iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Belkin Mouse Pad,Desktop,Laptop,Laptop,I/O-device,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,
Slim 2TB Portable External Hard Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,Microsoft Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,HP Black & Tri-color Ink,Monitor,Microsoft Office Home and Student 2016,Etekcity Power Extension Cord Cable,Laptop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,I/O-device,Koss Home Headphones,iPad,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Monitor,Desktop,Monster Beats By Dr Dre,Belkin Mouse Pad,Desktop,Laptop,iPad Pro,Epson Black Ink,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Slim 2TB Portable External Hard Drive,I/O-device,Laptop,iPad,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,iPhone Charger Cable,Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Black & Tri-color Ink,Etekcity Power Extension Cord Cable,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Ailihen Stereo Headphones,Bose Companion Speakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Audio Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Fire HD Tablet,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Dell 2 Desktop,Desktop,Desktop,I/O-device,I/O-device,Belkin Mouse Pad,Monitor,I/O-device,iPhone Charger Cable,iPad Pro,,,,,,,,,,,,,,,,,,,,
Monitor,Cambridge Bluetooth Speaker,Brother Printer Toner,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,I/O-device,Desktop,I/O-device,I/O-device,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,
Monster Beats By Dr Dre,Monitor,I/O-device,Monitor,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Halter Acrylic Monitor Stand,Redragon Gaming Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epson Printer,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Laptop,Monitor,Laptop,Desktop,Desktop,I/O-device,Cyber Acoustics,Etekcity Power Extension Cord Cable,I/O-device,PC Gaming Headset,2TB Portable External Hard Drive,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Rokono Mini Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Monitor,Monitor,Desktop,I/O-device,Cambridge Bluetooth Speaker,Cyber Acoustics,Etekcity Power Extension Cord Cable,Monitor,I/O-device,JBL Splashproof Portable Bluetooth Speaker,Canon Ink,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,Samsung Galaxy Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Laptop,Desktop,Monitor,Sonos,Desktop,Desktop,Apple Earpods,iPad Pro,I/O-device,,,,,,,,,,,,,,,,,,,,,,
Zombie Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Fire TV Stick,I/O-device,iPad Pro,JBL Splashproof Portable Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Dell 2 Desktop,Desktop,Apple Earpods,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Charging Cable,USB Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Computer Game,Laptop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Epson Black Ink,Desktop,I/O-device,Laptop,Kindle,,,,,,,,,,,,,,,,,,,,,,,,,,
iPad Pro,JBL Splashproof Portable Bluetooth Speaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Halter Acrylic Monitor Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Laptop,Computer Game,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Computer Game,Desktop,Belkin Mouse Pad,Full Motion Monitor Mount,Apple Earpods,I/O-device,Epson Black Ink,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDMI Cable 6ft,Desktop,Desktop,Laptop,Desktop,I/O-device,Epson Printer,I/O-device,Apple Earpods,I/O-device,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,Laptop,Epson Black Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Belkin Mouse Pad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Koss Home Headphones,Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Monitor,Desktop,Bose Companion Speakers,Microsoft Office Home and Student 2016,Desktop,Brother Printer Toner,Belkin Mouse Pad,I/O-device,Apple Earpods,Monitor,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Desktop,Desktop,Bose Companion Speakers,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,2TB Portable External Hard Drive,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Wireless Printer,Bose Companion Speakers,Desktop,I/O-device,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Panasonic In-Ear Headphone,Fire HD Tablet,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Computer Game,Laptop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,I/O-device,Epson Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Slim 2TB Portable External Hard Drive,Panasonic In-Ear Headphone,Desktop,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Apple Earpods,Laptop,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Office Home and Student 2016,Desktop,PC Gaming Headset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Bose Companion Speakers,Microsoft Office Home and Student 2016,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etekcity Power Extension Cord Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Apple Earpods,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips Flexible Earhook Headphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Belkin Mouse Pad,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,HP Wireless Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Monitor,Laptop,Monster Beats By Dr Dre,Cyber Acoustics,Etekcity Power Extension Cord Cable,Belkin Mouse Pad,I/O-device,Laptop,Zombie Gaming Headset,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Desktop,Desktop,Microsoft Headset,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,Desktop,I/O-device,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Desktop,Monitor,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Laptop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Epson Printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDMI Cable 6ft,Desktop,HP Black & Tri-color Ink,Laptop,Monitor,Desktop,Monitor,Etekcity Power Extension Cord Cable,Halter Acrylic Monitor Stand,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Monitor,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Desktop,Desktop,Desktop,I/O-device,Belkin Mouse Pad,Computer Game,Laptop,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Office Home and Student 2016,Desktop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Earpods,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Slim 2TB Portable External Hard Drive,Fire HD Tablet,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
HDMI Cable 6ft,Desktop,Desktop,Desktop,,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Height-Adjustable Standing Desk,I/O-device,Belkin Mouse Pad,Desktop,iPhone Charger Cable,Apple TV,DYMO Labeling Tape,,,,,,,,,,,,,,,,,,,,,,,
Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Computer Game,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I/O-device,Laptop,Desktop,Etekcity Power Extension Cord Cable,I/O-device,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Dell 2 Desktop,Monitor,Laptop,Desktop,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Laptop,Desktop,Belkin Mouse Pad,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Monitor,Desktop,Height-Adjustable Standing Desk,Desktop,I/O-device,Monster Beats By Dr Dre,Belkin Mouse Pad,I/O-device,,,,,,,,,,,,,,,,,,,,,,
I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,Laptop,I/O-device,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Desktop,I/O-device,Epson Printer,Microsoft Office Home and Student 2016,Desktop,Monitor,Mackie CR Speakers,Apple Earpods,Zombie Gaming Headset,USB Cable,iPhone Charger Cable,iPad Pro,I/O-device,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Desktop,Laptop,Desktop,Zombie Gaming Headset,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Desktop,Apple Earpods,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic In-Ear Headphone,Desktop,Belkin Mouse Pad,Apple Earpods,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Dell 2 Desktop,I/O-device,APIE Bluetooth Headphone,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Desktop,Laptop,Desktop,Microsoft Office Home and Student 2016,Desktop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,I/O-device,HP Wireless Printer,Desktop,Desktop,Laptop,Monitor,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Desktop,Laptop,Monitor,Desktop,Height-Adjustable Standing Desk,Microsoft Office Home and Student 2016,I/O-device,Mackie CR Speakers,Belkin Mouse Pad,Ethernet Cable,Halter Acrylic Monitor Stand,I/O-device,Logitech Multimedia Speakers,Monitor,,,,,,,,,,,,,,,,,
Laptop,Desktop,Monitor,I/O-device,Monitor,Desktop,I/O-device,I/O-device,I/O-device,,,,,,,,,,,,,,,,,,,,,,,
5TB Desktop Hard Drive,Desktop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDMI Cable 6ft,Laptop,Laptop,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDMI Cable 6ft,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,iPhone Charger Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPad Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,Monitor,Belkin Mouse Pad,Laptop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Laptop,Laptop,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Monitor,Height-Adjustable Standing Desk,I/O-device,I/O-device,Halter Acrylic Monitor Stand,I/O-device,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,Desktop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,Apple Earpods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Desktop,iPhone Charger Cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Desktop,Monitor,Desktop,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monitor,Monitor,Laptop,Desktop,Monitor,Desktop,I/O-device,Monitor,,,,,,,,,,,,,,,,,,,,,,,,
Otium Wireless Sports Bluetooth Headphone,Monitor,Computer Game,USB Cable,Microsoft Office Home and Student 2016,Monitor,I/O-device,Desktop,Laptop,,,,,,,,,,,,,,,,,,,,,,,
